,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
FOX US Equity,2022-05-07,SELL,福克斯公司,-14827,0,0,33.72,1.0,500000,0,0,Quant,Pattern 87,NDX
ILMN US Equity,2022-05-07,BUY,Illumina公司,1713,0,0,291.72,1.0,500000,0,0,Quant,Pattern 87,NDX
KHC US Equity,2022-05-07,BUY,卡夫亨氏公司,11590,0,0,43.14,1.0,500000,0,0,Quant,Pattern 87,NDX
MRVL US Equity,2022-05-07,SELL,Marvell Technology Inc,-8577,0,0,58.29,1.0,500000,0,0,Quant,Pattern 87,NDX
NXPI US Equity,2022-05-07,SELL,恩智浦半导体公司,-2803,0,0,178.37,1.0,500000,0,0,Quant,Pattern 87,NDX
WBA US Equity,2022-05-07,SELL,沃博联公司,-11420,0,0,43.78,1.0,500000,0,0,Quant,Pattern 87,NDX
ABP AU Equity,2022-05-07,SELL,Abacus地产集团,-455967,0,0,3.1,1.4135,1000000,0,0,Quant,Pattern 87,AU
APE AU Equity,2022-05-07,SELL,Eagers汽车有限公司,-116337,0,0,12.15,1.4135,1000000,0,0,Quant,Pattern 87,AU
AZJ AU Equity,2022-05-07,SELL,Aurizon控股有限公司,-350744,0,0,4.03,1.4135,1000000,0,0,Quant,Pattern 87,AU
BRG AU Equity,2022-05-07,BUY,Breville 集团有限公司,62655,0,0,22.56,1.4135,1000000,0,0,Quant,Pattern 87,AU
COL AU Equity,2022-05-07,BUY,Coles Group Ltd,75709,0,0,18.67,1.4135,1000000,0,0,Quant,Pattern 87,AU
CSL AU Equity,2022-05-07,SELL,CSL有限公司,-5271,0,0,268.16,1.4135,1000000,0,0,Quant,Pattern 87,AU
ORI AU Equity,2022-05-07,BUY,澳瑞凯有限公司,88843,0,0,15.91,1.4135,1000000,0,0,Quant,Pattern 87,AU
PDL AU Equity,2022-05-07,BUY,Pendal集团有限公司,284406,0,0,4.97,1.4135,1000000,0,0,Quant,Pattern 87,AU
REH AU Equity,2022-05-07,BUY,Reece有限公司,84036,0,0,16.82,1.4135,1000000,0,0,Quant,Pattern 87,AU
RMD AU Equity,2022-05-07,BUY,瑞思迈股份有限公司,49079,0,0,28.8,1.4135,1000000,0,0,Quant,Pattern 87,AU
