,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
603027 CH Equity,2022-05-02,SELL,千禾味业,-37793,0,0,17.67,6.6781,100000,0,0,Quant,Pattern 95,CN
603066 CH Equity,2022-05-02,BUY,音飞储存,63905,0,0,10.45,6.6781,100000,0,0,Quant,Pattern 95,CN
603101 CH Equity,2022-05-02,SELL,汇嘉时代,-106170,0,0,6.29,6.6781,100000,0,0,Quant,Pattern 95,CN
603185 CH Equity,2022-05-02,BUY,上机数控,5447,0,0,122.59,6.6781,100000,0,0,Quant,Pattern 95,CN
603187 CH Equity,2022-05-02,SELL,海容冷链,-21417,0,0,31.18,6.6781,100000,0,0,Quant,Pattern 95,CN
603226 CH Equity,2022-05-02,BUY,菲林格尔,109297,0,0,6.11,6.6781,100000,0,0,Quant,Pattern 95,CN
603357 CH Equity,2022-05-02,BUY,设计总院,55236,0,0,12.09,6.6781,100000,0,0,Quant,Pattern 95,CN
300027 CH Equity,2022-05-02,BUY,华谊兄弟,263956,0,0,2.5300000000000002,6.6781,100000,0,0,Quant,Pattern 95,CN
300035 CH Equity,2022-05-02,SELL,中科电气,-25685,0,0,26.0,6.6781,100000,0,0,Quant,Pattern 95,CN
300053 CH Equity,2022-05-02,BUY,欧比特,88334,0,0,7.5600000000000005,6.6781,100000,0,0,Quant,Pattern 95,CN
300109 CH Equity,2022-05-02,SELL,新开源,-51016,0,0,13.09,6.6781,100000,0,0,Quant,Pattern 95,CN
300113 CH Equity,2022-05-02,BUY,顺网科技,66847,0,0,9.99,6.6781,100000,0,0,Quant,Pattern 95,CN
300124 CH Equity,2022-05-02,BUY,汇川技术,11573,0,0,57.7,6.6781,100000,0,0,Quant,Pattern 95,CN
300136 CH Equity,2022-05-02,SELL,信维通信,-45522,0,0,14.67,6.6781,100000,0,0,Quant,Pattern 95,CN
300260 CH Equity,2022-05-02,SELL,新莱应材,-19492,0,0,34.26,6.6781,100000,0,0,Quant,Pattern 95,CN
300263 CH Equity,2022-05-02,SELL,隆华科技,-102740,0,0,6.5,6.6781,100000,0,0,Quant,Pattern 95,CN
